0.0905906	0.183738	0.109368	0.141614	-0.0562269	-0.205521	
0.0276063	0.0452547	0.0612884	0.026675	0.0512188	0.00487548	
0.0735371	0.0332488	0.0937455	0.078423	0.126029	0.0114403	
0.151733	0.0865474	0.128987	0.148778	0.0799323	0.0678265	
0.0769039	0.174395	0.0635909	0.0139806	0.0941538	0.118051	
0.0394595	0.0576496	0.00656652	0.0887078	0.168537	0.0778084	
0.0324588	0.087455	0.0654987	0.0632141	0.000460419	0.0731012	
0.0592595	0.0166727	0.0124842	0.0353579	0.0285455	0.030982	
0.0491898	-0.0583346	0.0832114	0.0477033	0.0232148	0.106228	
0.0013275	0.0519518	0.127904	0.108664	0.0948918	0.0500302	
